Wavelength,Average Ring Flux (MJy/sr)
4.900400095357327,2945.163827627924
4.901200857968175,3038.7946527558474
4.902001620579023,3069.4488297404732
4.902802383189871,3117.307463769442
4.903603145800719,3138.0967759544374
4.9044039084115685,3023.268593500666
4.905204671022417,3010.4470373114627
4.906005433633265,2905.9293231152374
4.906806196244113,2991.4320937405923
4.907606958854961,3036.474732857867
4.908407721465809,3056.581786166452
4.909208484076657,3035.2452471166253
4.910009246687506,2955.097752913438
4.910810009298354,3058.5968877106448
4.911610771909202,3114.180343255618
4.912411534520051,3144.470293284743
4.913212297130899,3135.4605360757587
4.914013059741747,3190.468709315492
4.9148138223525955,3044.924476319189
4.915614584963444,3027.1807489602047
4.916415347574292,3013.926914975158
4.91721611018514,3076.053539264737
4.918016872795988,3191.3564797133763
4.918817635406836,3136.0235667362085
4.919618398017684,2996.4921246649446
4.9204191606285335,3015.503543782565
4.921219923239382,3048.8931848212615
4.92202068585023,3143.56410551325
4.922821448461078,3241.657241703098
4.923622211071926,3134.310950310692
4.924422973682774,3182.6932797232985
4.925223736293622,3180.067448151126
4.926024498904471,3075.198588277686
4.926825261515319,3000.540367718997
4.927626024126167,2940.6742067403193
4.928426786737016,2920.5315611114634
4.929227549347864,3035.434679457239
4.930028311958712,3124.8750823103173
4.93082907456956,3174.8429567016824
4.931629837180409,3175.5774059643313
4.932430599791257,3104.493951364041
4.933231362402105,3184.2054813488367
4.934032125012953,3172.3088684129943
4.934832887623801,3120.7507516209207
4.935633650234649,3046.7530057561153
4.936434412845498,3040.644239965113
4.937235175456347,3111.5939933082245
4.938035938067195,3107.0219958962803
4.938836700678043,3070.9882043677953
4.939637463288891,3106.0127189800287
4.940438225899739,3130.667870563669
4.941238988510587,3108.427961271848
4.942039751121436,3072.9872597046788
4.942840513732284,3114.857798886947
4.943641276343133,3054.7863979142985
4.944442038953981,3032.4248202630056
4.945242801564829,3126.9578717260574
4.946043564175677,3222.2918873172357
4.946844326786525,3221.0448254984303
4.947645089397374,3111.398814484128
4.948445852008222,3043.2215043529195
4.94924661461907,3020.2189718229333
4.950047377229918,3030.655541738671
4.950848139840766,3128.8221972375886
4.951648902451615,3095.6275550620267
4.952449665062463,3097.3533336524356
4.953250427673312,3125.7829105587934
4.95405119028416,3091.446292459056
4.954851952895008,3046.975952186289
4.955652715505856,2998.691439730868
4.956453478116704,3017.9516745208634
4.957254240727552,3115.4436137925045
4.9580550033384005,3098.9516443082452
4.958855765949249,3111.900603062623
4.959656528560098,3140.385133307243
4.960457291170946,3054.705699257607
4.961258053781794,3043.6658283337642
4.962058816392642,3126.7996240303223
4.96285957900349,3152.724101666433
4.9636603416143386,3111.025223820065
4.964461104225187,3079.8111223773362
4.965261866836035,3128.1987148690273
4.966062629446883,3179.378973752748
4.966863392057731,3125.6817843388226
4.96766415466858,3055.0202719109334
4.968464917279428,3071.2160808169792
4.969265679890277,3014.9567027968983
4.970066442501125,3079.0037804530157
4.970867205111973,3095.6931634205134
4.971667967722821,3112.528648682726
4.972468730333669,3120.194828258655
4.973269492944517,3074.8291399897225
4.9740702555553655,3097.248958825146
4.974871018166214,3131.1901888136526
4.975671780777063,3142.65339914718
4.976472543387911,3087.0258053599455
4.977273305998759,3117.728404361079
4.978074068609607,3041.2273554641233
4.978874831220455,3047.0018824151975
4.9796755938313035,2931.8972073561067
4.980476356442152,2939.539833977367
4.981277119053,3075.5959263472582
4.982077881663848,3107.9079230658917
4.982878644274697,3065.3461959815986
4.983679406885545,3038.055356902466
4.984480169496393,3037.3895523690217
4.9852809321072415,3117.935330302709
4.98608169471809,3094.517527848687
4.986882457328938,3065.4055428750316
4.987683219939786,3153.5440391211014
4.988483982550634,3131.033334549479
4.989284745161482,3103.7047642475745
4.9900855077723305,3054.1210324008416
4.99088627038318,3037.964693105472
4.991687032994028,2977.3638665721965
4.992487795604876,3022.194920933522
4.993288558215724,2983.8241739299774
4.994089320826572,3041.2357532188344
4.99489008343742,2972.6435809346576
4.9956908460482685,3011.719488852541
4.996491608659117,3154.2413976641624
4.997292371269965,3181.292430935622
4.998093133880813,3222.0109242133076
4.998893896491662,3156.330044493847
4.99969465910251,3105.8041306798714
5.000495421713358,3050.8120003532013
5.0012961843242065,3035.335573334853
5.002096946935055,3065.722263176406
5.002897709545903,3005.4444075952447
5.003698472156751,3049.3003001367474
5.004499234767599,3141.057365751502
5.005299997378447,3167.4058113547226
5.0061007599892955,3130.8696354326794
5.0069015226001445,3030.7977704300883
5.007702285210993,2954.7009101261883
5.008503047821841,3012.9670910505856
5.009303810432689,3060.7467129829665
5.010104573043537,3030.81494042866
5.010905335654385,3067.9489626559025
5.0117060982652335,3030.710832213409
5.012506860876082,3012.7287274172727
5.01330762348693,3004.3366234639507
5.014108386097778,3040.736345477573
5.014909148708627,3087.46763700207
5.015709911319475,3021.8288570982345
5.016510673930323,3028.2928770782387
5.0173114365411715,3088.661739803724
5.01811219915202,3091.842890643405
5.018912961762868,3017.0398607683915
5.019713724373716,3047.9618736380617
5.020514486984564,3107.602183988162
5.021315249595412,3035.033780552668
5.022116012206261,3014.249726347612
5.0229167748171095,3014.2378871397996
5.023717537427958,3075.800444052633
5.024518300038806,3089.482190164146
5.025319062649654,3087.005983166075
5.026119825260502,3088.1307249405754
5.02692058787135,3147.2236329884877
5.0277213504821985,3036.5470194262025
5.028522113093047,2948.9510308992362
5.029322875703895,2994.0000691161285
5.030123638314744,3045.918599108289
5.030924400925592,3013.3894252059495
5.03172516353644,3067.0260390990584
5.032525926147288,3085.9651242937844
5.0333266887581365,3033.020456469462
5.034127451368985,3056.761664674566
5.034928213979833,3066.8621732240226
5.035728976590681,3039.6397497017488
5.036529739201529,2952.0240211365826
5.037330501812377,3031.3155547053775
5.038131264423226,3037.190765746105
5.0389320270340745,3060.431245474207
5.039732789644923,3091.360334027658
5.040533552255771,3052.535664391737
5.041334314866619,2967.826062978288
5.042135077477467,2982.139899407909
5.042935840088315,2993.770192545698
5.0437366026991635,2949.965799811055
5.044537365310012,2931.859128083655
5.04533812792086,3049.900954954025
5.046138890531709,3060.8609112479635
5.046939653142557,3031.87315176132
5.047740415753405,2913.6777083835623
5.048541178364253,2860.2215998348747
5.0493419409751015,2985.705144987724
5.05014270358595,3067.1129457770503
5.050943466196798,3018.129510424912
5.051744228807646,3014.91480470846
5.052544991418494,3018.935481323602
5.053345754029342,2982.412263733034
5.054146516640191,2931.037147952573
5.0549472792510395,2943.1250573302223
5.055748041861888,2942.757927869779
5.056548804472736,2981.606954810896
5.057349567083584,2991.208737245432
5.058150329694432,3062.8872293004974
5.05895109230528,3017.4461513703413
5.059751854916128,2953.9175545561075
5.060552617526977,3019.7055125316747
5.061353380137826,3039.431558927325
5.062154142748674,3101.132868244356
5.062954905359522,3102.3429128955877
5.06375566797037,3071.3662220165165
5.064556430581218,3013.7960649888455
5.0653571931920665,3007.6528560833654
5.066157955802915,2940.4275965554316
5.066958718413763,2874.5267838579643
5.067759481024611,2852.265721514264
5.068560243635459,2823.541648914235
5.069361006246308,2973.8762304369643
5.070161768857156,3023.0223280937394
5.0709625314680045,2950.5268467973738
5.071763294078853,2926.486152562197
5.072564056689701,2923.8291137678625
5.073364819300549,2927.2822767255616
5.074165581911397,2977.116921624944
5.074966344522245,2965.999802142238
5.075767107133093,2923.7931781896114
5.076567869743942,2846.8771822140425
5.077368632354791,2817.087419109627
5.078169394965639,2791.8062545837247
5.078970157576487,2769.0498595857052
5.079770920187335,2728.6796740099526
5.080571682798183,2749.623323817359
5.081372445409031,2814.610563272202
5.08217320801988,2854.4308964000666
5.082973970630728,2829.7698633932378
5.083774733241576,2817.8097940803773
5.084575495852424,2801.420830772806
5.085376258463273,2830.8587950599194
5.086177021074121,2889.2514162864745
5.0869777836849694,2885.2548560773457
5.087778546295818,2828.5607466469874
5.088579308906666,2833.878280809248
5.089380071517514,2823.4078369497324
5.090180834128362,2782.857996598586
5.09098159673921,2788.922980677716
5.091782359350058,2829.271381545501
5.092583121960907,2750.2183289173645
5.093383884571756,2722.8777901662907
5.094184647182604,2809.524807710011
5.094985409793452,2836.9529109997766
5.0957861724043,2788.2072509458812
5.096586935015148,2760.1504060474876
5.097387697625996,2799.5205742636554
5.098188460236845,2775.960064075956
5.098989222847693,2734.570120820711
5.099789985458541,2756.447720413333
5.10059074806939,2827.536672989502
5.101391510680238,2790.912780259996
5.102192273291086,2796.1901297563313
5.102993035901934,2809.5107882263487
5.103793798512783,2765.212270240434
5.104594561123631,2749.3783308047114
5.105395323734479,2760.2431249000383
5.106196086345327,2655.8814623988524
5.106996848956175,2673.0646430384804
5.107797611567023,2715.276129306598
5.108598374177872,2716.9391217892144
5.109399136788721,2763.4023204108225
5.110199899399569,2701.65543536666
5.111000662010417,2746.9920735149976
5.111801424621265,2733.43526892047
5.112602187232113,2736.633597010577
5.113402949842961,2672.2039849386433
5.11420371245381,2697.004413709803
5.115004475064658,2709.45627587769
5.115805237675506,2742.5182983909017
5.116606000286355,2747.719403336204
5.117406762897203,2738.2198919233033
5.118207525508051,2700.470775670214
5.119008288118899,2650.4971900899245
5.119809050729748,2622.435334619631
5.120609813340596,2646.739250138708
5.121410575951444,2578.193962640331
5.122211338562292,2625.7249637480995
5.12301210117314,2687.115648862078
5.123812863783988,2726.1838321188907
5.124613626394837,2741.0297276023525
5.125414389005686,2684.5845722864024
5.126215151616534,2679.2292029283726
5.127015914227382,2714.552207420478
5.12781667683823,2714.9358557006117
5.128617439449078,2736.262789238837
5.129418202059926,2710.1746723080014
5.1302189646707745,2715.8698703992977
5.131019727281623,2751.3921991389907
5.131820489892471,2676.732383587675
5.13262125250332,2576.503057247445
5.133422015114168,2524.3936212443987
5.134222777725016,2552.841574971765
5.135023540335864,2622.352147560434
