Wavelength,Flux (Jy)
0.7000150909052997,4.133646948048302e-06
0.7050202401240129,4.624352497464622e-08
0.7100253893427261,-1.0628153953165434e-05
0.7150305385614393,-1.496876767759073e-07
0.7200356877801526,6.484926955870393e-06
0.7250408369988657,-1.4875537089723305e-07
0.730045986217579,2.222194883171227e-06
0.7350511354362922,1.2881471808052075e-05
0.7400562846550054,1.0473619595066532e-05
0.7450614338737186,-2.289006320334062e-06
0.7500665830924318,8.269201826046669e-06
0.7550717323111451,3.551454024839532e-06
0.7600768815298583,8.15052210109266e-06
0.7650820307485715,2.925305444450451e-06
0.7700871799672847,3.6321901602355175e-06
0.7750923291859979,8.534964451308487e-06
0.7800974784047111,9.639493526344049e-07
0.7851026276234243,4.124734732195024e-07
0.7901077768421376,-1.7113707964597665e-06
0.7951129260608508,4.1713438618880284e-06
0.800118075279564,6.074112533650758e-06
0.8051232244982772,8.919961235872785e-06
0.8101283737169904,1.0028670502587984e-05
0.8151335229357037,5.587276713064192e-06
0.8201386721544168,7.846318719978081e-07
0.8251438213731301,3.989980519507506e-06
0.8301489705918433,8.067829981086928e-06
0.8351541198105565,3.756844017627499e-06
0.8401592690292697,4.089414794152344e-06
0.8451644182479829,3.3388224597483514e-06
0.8501695674666963,7.3254614421743136e-06
0.8551747166854093,2.042829853054342e-06
0.8601798659041227,7.5285030742249134e-06
0.8651850151228359,2.9855426884585166e-06
0.870190164341549,3.331290727608854e-06
0.8751953135602624,3.0083718001600673e-06
0.8802004627789755,2.4469629261317374e-06
0.8852056119976888,5.446978966271871e-06
0.890210761216402,2.496616198452703e-06
0.8952159104351152,3.7080269844511445e-06
0.9002210596538284,6.288455294280642e-06
0.9052262088725416,-7.804099279227452e-07
0.9102313580912549,3.4779304164016456e-06
0.915236507309968,4.21969913933681e-06
0.9202416565286813,-1.603045914261405e-06
0.9252468057473945,4.071986638479332e-06
0.9302519549661077,2.0503211865147395e-06
0.9352571041848209,3.1847099538246782e-06
0.9402622534035341,4.9050251923566995e-06
0.9452674026222474,4.49739534299395e-06
0.9502725518409605,4.277298523969259e-06
0.9552777010596738,1.6671904948360646e-05
0.960282850278387,1.3019261317351064e-05
0.9652879994971002,3.2016941349481334e-06
0.9702931487158135,7.84642147257894e-06
0.9752982979345266,1.5452141314197387e-06
0.9803034471532399,1.024922449616091e-06
0.9853085963719531,3.997096172419485e-06
0.9903137455906663,2.0317796734808513e-06
0.9953188948093795,2.8459702002456987e-06
1.0003240440280927,2.6957143915795896e-06
1.005329193246806,2.924029583275272e-06
1.0103343424655191,1.5471415159545141e-06
1.0153394916842324,3.1138495180626554e-06
1.0203446409029455,4.858077432689762e-06
1.0253497901216588,-1.664980718810281e-07
1.0303549393403721,2.5959036193610183e-06
1.0353600885590852,4.651094294038612e-06
1.0403652377777985,-2.1055850102246733e-07
1.0453703869965119,3.307363172107178e-06
1.050375536215225,5.089272603612826e-06
1.055380685433938,2.825124084801055e-06
1.0603858346526513,3.265519278179871e-06
1.0653909838713647,2.7904402097323613e-06
1.0703961330900778,3.957329508416363e-06
1.075401282308791,2.9435043344078914e-06
1.0804064315275044,2.6535612700428423e-06
1.0854115807462175,4.548541527202663e-06
1.0904167299649306,4.924884042807501e-06
1.0954218791836439,3.0456496395890075e-06
1.1004270284023572,1.6559840617415354e-06
1.1054321776210703,6.091996059867737e-06
1.1104373268397836,3.112285669174065e-06
1.115442476058497,-1.0346602409919084e-06
1.12044762527721,6.0640270767809214e-06
1.125452774495923,2.629414933229593e-06
1.1304579237146364,1.5092226254175124e-06
1.1354630729333497,3.926780161093534e-06
1.1404682221520628,3.9015058401433636e-06
1.145473371370776,3.1204429647016806e-06
1.1504785205894894,2.306895176963842e-06
1.1554836698082025,3.1211323269684964e-06
1.1604888190269156,2.648386259425004e-06
1.165493968245629,2.5601852375621074e-06
1.1704991174643422,2.6083743553172394e-06
1.1755042666830553,2.9953075404953285e-06
1.1805094159017686,3.227378508445734e-06
1.185514565120482,3.2987544047068323e-06
1.190519714339195,2.3137055402308264e-06
1.195524863557908,3.2342092646085085e-06
1.2005300127766214,4.831299712732172e-06
1.2055351619953347,2.594605173151173e-06
1.2105403112140478,2.623987508622651e-06
1.2155454604327611,2.802957764767173e-06
1.2205506096514744,4.082510315542774e-06
1.2255557588701875,1.0118772232736114e-06
1.2305609080889006,2.1779312394546367e-06
1.2355660573076142,2.7717901064811844e-06
1.2405712065263272,3.37279877529792e-06
1.2455763557450403,1.8286776770552613e-06
1.2505815049637536,2.8450516384008856e-06
1.255586654182467,3.6674614206718156e-06
1.26059180340118,2.530622007139963e-06
1.2655969526198931,2.2034907456640873e-06
1.2706021018386067,2.1357351320053534e-06
1.2756072510573198,2.3564248788547188e-06
1.2806124002760328,3.030926570454007e-06
1.2856175494947462,2.432130392738718e-06
1.2906226987134595,2.135219298488153e-06
1.2956278479321726,8.711631210165303e-07
1.3006329971508859,5.110277098215788e-06
1.3056381463695992,2.8218145916833713e-06
1.3106432955883123,2.025054852231703e-06
1.3156484448070254,5.64227388840626e-07
1.3206535940257387,4.9595781033235215e-06
1.325658743244452,2.937928407317128e-06
1.330663892463165,1.4445256070504145e-06
1.3356690416818784,1.6746590456917174e-06
1.3406741909005917,3.3767808688433387e-06
1.3456793401193048,2.865735672770133e-06
1.3506844893380179,2.492751878140185e-06
1.3556896385567312,2.7542915216090185e-06
1.3606947877754445,3.4249681137238833e-06
1.3656999369941576,3.2618496280887384e-06
1.370705086212871,2.7152916338638293e-06
1.3757102354315842,2.9239560081395935e-06
1.3807153846502973,2.9636287345705836e-06
1.3857205338690104,2.933127823738721e-06
1.3907256830877237,2.723887996783523e-06
1.395730832306437,3.0566321700514654e-06
1.40073598152515,3.2512540060696934e-06
1.4057411307438634,3.2098033622415627e-06
1.4107462799625767,3.5792499820673177e-06
1.4157514291812898,3.375207933260684e-06
1.420756578400003,3.2751228997626765e-06
1.4257617276187164,3.083285635698866e-06
1.4307668768374295,2.7826796288072722e-06
1.4357720260561426,3.0122866555528325e-06
1.440777175274856,3.089397206865252e-06
1.4457823244935692,3.0905248723724843e-06
1.4507874737122823,2.7560028347293477e-06
1.4557926229309954,2.3090298752063735e-06
1.460797772149709,2.0114427411318956e-06
1.465802921368422,1.9061970823306305e-06
1.4708080705871351,2.000312540082059e-06
1.4758132198058485,1.4077341428418718e-06
1.4808183690245618,1.7779330043136686e-06
1.4858235182432749,1.7007571135644596e-06
1.4908286674619882,2.598798244255465e-06
1.4958338166807015,1.8905781224166345e-06
1.5008389658994146,1.914920460166061e-06
1.5058441151181277,1.6573376400509683e-06
1.510849264336841,2.0585178203018827e-06
1.5158544135555543,1.3086418667655159e-06
1.5208595627742674,1.3283588073839783e-06
1.5258647119929807,1.4108213245491113e-06
1.530869861211694,2.039659714371023e-06
1.535875010430407,1.7719920159797057e-06
1.5408801596491202,1.4653362908468679e-06
1.5458853088678337,1.1762751939972153e-06
1.5508904580865468,9.846275795893243e-07
1.5558956073052599,1.0781843386455154e-06
1.560900756523973,1.1054737137822736e-06
1.5659059057426865,1.1422111988981846e-06
1.5709110549613996,1.2563827492031568e-06
1.5759162041801127,1.3071148078106562e-06
1.5809213533988262,1.3869461568389653e-06
1.5859265026175393,1.631406704637334e-06
1.5909316518362524,1.6161612898441735e-06
1.5959368010549655,2.080247858789915e-06
1.600941950273679,2.032088877215288e-06
1.6059470994923921,2.4156747472958123e-06
1.6109522487111052,5.050022746626861e-07
1.6159573979298187,2.3534706236070726e-06
1.6209625471485318,2.215436605151602e-06
1.625967696367245,2.574920465549514e-06
1.630972845585958,-4.918814227279765e-07
1.6359779948046715,1.96869590421061e-06
1.6409831440233846,2.205644110403831e-06
1.6459882932420977,2.725196308918151e-06
1.6509934424608113,1.1398744382070465e-06
1.6559985916795243,1.7269635096895967e-06
1.6610037408982374,1.6715431200693135e-06
