Wavelength,Average Ring Flux (MJy/sr)
2.714899224254392,6654.128082155716
2.719899224142633,6553.176042774855
2.7248992240308745,6236.241943696575
2.7298992239191158,5869.698606934602
2.734899223807357,5412.8269771876085
2.7398992236955984,4864.1592336822605
2.7448992235838396,4287.006009204424
2.749899223472081,3748.2154270221768
2.7548992233603222,3225.179260450125
2.7598992232485635,2831.5953018074492
2.764899223136805,2481.769015208599
2.769899223025046,2142.395692043649
2.7748992229132874,1902.8024083268324
2.7798992228015287,1673.4274737526323
2.78489922268977,1462.5046478960137
2.7898992225780113,1312.9907267317833
2.7948992224662526,1163.135171897134
2.799899222354494,1036.5284693762915
2.804899222242735,942.7344698779872
2.8098992221309764,852.9609214559629
2.8148992220192177,782.1477155883537
2.819899221907459,726.2098564598531
2.8248992217957003,670.8292612975623
2.8298992216839416,631.5317248001768
2.834899221572183,597.3883030868382
2.839899221460424,566.1453134654669
2.8448992213486655,544.2635434422225
2.8498992212369068,524.4987845375275
2.854899221125148,506.6852503130073
2.8598992210133893,493.90821753237867
2.8648992209016306,484.69030852122006
2.869899220789872,479.0511397800076
2.874899220678113,478.07055886736924
2.8798992205663545,481.72378359939665
2.884899220454596,491.3880145764299
2.889899220342837,504.43539965451953
2.8948992202310784,527.2976320717192
2.8998992201193197,556.0670503526401
2.904899220007561,597.3219009039474
2.9098992198958022,645.1718092112519
2.9148992197840435,695.316055942208
2.919899219672285,757.0533779580404
2.924899219560526,815.6014429639437
2.9298992194487674,877.0274996323044
2.9348992193370087,942.8916815042779
2.93989921922525,1003.6142978334077
2.9448992191134913,1064.3898470782285
2.9498992190017326,1120.7108260713837
2.954899218889974,1176.5977827914617
2.959899218778215,1233.6413457748029
2.9648992186664564,1272.2382167176138
2.9698992185546977,1307.3838051317682
2.974899218442939,1334.2305543400314
2.9798992183311803,1353.4838767160234
2.9848992182194216,1368.448934716832
2.989899218107663,1380.319118310195
2.994899217995904,1390.8452977135032
2.9998992178841455,1407.817436067005
3.0048992177723868,1432.3792098978217
3.009899217660628,1469.7148037712946
3.0148992175488694,1519.2771968303423
3.0198992174371107,1582.1347309119826
3.024899217325352,1668.6488543533897
3.0298992172135932,1761.595630589131
3.0348992171018345,1873.409851015546
3.039899216990076,2003.0962244789075
3.044899216878317,2145.6519200311836
3.0498992167665584,2320.3764146738513
3.0548992166547997,2516.380307728527
3.059899216543041,2730.839680400159
3.0648992164312823,3005.4720567059617
3.0698992163195236,3274.384675217522
3.074899216207765,3616.9033075713755
3.079899216096006,3984.63048830013
3.0848992159842474,4356.153370359521
3.0898992158724887,4746.5543207895635
3.09489921576073,5050.520264941074
3.0998992156489713,5255.309443139671
3.1048992155372126,5322.116217551334
3.109899215425454,5235.130544828943
3.114899215313695,5010.638295004274
3.1198992152019365,4709.716469615248
3.1248992150901778,4366.55445461719
3.129899214978419,4033.892503381653
3.1348992148666603,3751.472342065653
3.1398992147549016,3502.31055281806
3.144899214643143,3310.30278557221
3.149899214531384,3163.2306971436483
3.1548992144196255,3048.5416692323893
3.159899214307867,2974.625969461656
3.164899214196108,2924.5385837861495
3.1698992140843494,2902.930486722867
3.1748992139725907,2905.2592055587393
3.179899213860832,2926.546549253429
3.1848992137490733,2961.531640856586
3.1898992136373145,3009.213974201993
3.194899213525556,3054.367393066052
3.199899213413797,3090.3686011665973
3.2048992133020384,3116.6122589365013
3.2098992131902797,3135.551128314769
3.214899213078521,3140.420447422327
3.2198992129667623,3134.7258993097585
3.2248992128550036,3126.098936930047
3.229899212743245,3123.6540152601187
3.234899212631486,3133.5155365475457
3.2398992125197275,3171.6744175417816
3.2448992124079687,3241.1730154663924
3.24989921229621,3340.5907746159205
3.2548992121844513,3471.8194990427714
3.2598992120726926,3627.1666774586674
3.264899211960934,3807.9095443341007
3.269899211849175,3992.717088701287
3.2748992117374165,4190.888617579232
3.279899211625658,4391.140520290344
3.284899211513899,4586.113384180888
3.2898992114021404,4799.200516194969
3.2948992112903817,5003.728063380383
3.299899211178623,5231.650810748352
3.3048992110668642,5448.6060468776495
3.3098992109551055,5654.398961791335
3.314899210843347,5858.320055204278
3.319899210731588,6047.404054804201
3.3248992106198294,6254.223114357115
3.3298992105080707,6452.82335375645
3.334899210396312,6648.902269044637
3.3398992102845533,6835.330607674145
3.3448992101727946,6999.568682446096
3.349899210061036,7169.1533672344585
3.354899209949277,7325.275396023039
3.3598992098375184,7498.104274730795
3.3648992097257597,7658.877851131738
3.369899209614001,7814.995344062526
3.3748992095022423,7981.741981136377
3.3798992093904836,8148.094077305149
3.384899209278725,8332.509819720752
3.389899209166966,8493.660768923146
3.3948992090552075,8657.09333571509
3.3998992089434488,8816.321118907515
3.40489920883169,8976.263644411623
3.4098992087199314,9135.68488044187
3.4148992086081726,9277.669544874807
3.419899208496414,9434.185997931654
3.4248992083846552,9578.290847374483
3.4298992082728965,9741.524052192124
3.434899208161138,9884.706701514733
3.439899208049379,10038.498992127488
3.4448992079376204,10196.01650272504
3.4498992078258617,10347.694614990402
3.454899207714103,10484.996906229648
3.4598992076023443,10579.559651751713
3.4648992074905856,10666.11520713636
3.469899207378827,10734.800018031261
3.474899207267068,10830.583959634505
3.4798992071553094,10918.033540696222
3.4848992070435507,11006.576676261047
3.489899206931792,11087.607211391585
3.4948992068200333,11143.872991898354
3.4998992067082746,11187.693332722112
3.504899206596516,11238.33990532139
3.509899206484757,11298.773190021804
3.5148992063729985,11340.42981949334
3.5198992062612398,11384.394093774981
3.524899206149481,11442.077971642957
3.5298992060377223,11481.874665544678
